4216,168.74,9
13230,157.46,5
5220,154.73,5
12635,153.17,5
7390,147.79,7
9784,140.16,7
8381,136.66,5
11575,134.64,15
6165,119.29,6
7641,106.34,10
9675,102.80,8
7316,102.02,5
11311,93.58,10
7854,90.88,10
9914,90.82,6
11039,87.02,10
10761,86.60,10
12684,82.36,17
11898,82.29,10
9614,78.68,10
8872,77.06,10
10794,74.61,14
8404,73.73,5
5206,72.43,5
9965,70.98,7
3470,70.80,5
7593,69.43,7
6982,68.83,5
13345,67.44,5
12869,66.27,10
8375,65.18,5
5214,60.85,14
13356,60.30,10
10163,57.41,10
11363,57.19,17
3791,56.54,10
7175,55.48,12
11101,54.67,5
12628,51.02,5
8865,47.88,11
4345,47.75,10
13162,45.60,6
11920,45.45,15
11201,44.90,5
12454,43.98,5
11574,43.72,7
12105,43.07,13
13180,42.69,5
13117,40.93,5
4475,40.87,5
6148,40.63,5
4998,39.09,5
8367,38.81,12
7303,38.70,9
596,37.60,5
10023,36.84,7
4156,36.71,5
13890,35.05,5
3873,34.91,5
9014,34.60,5
11387,33.11,12
13380,32.11,5
13101,32.08,5
14053,31.61,5
9657,31.12,7
13035,28.60,11
13228,27.82,5
13216,27.80,6
13326,27.65,5
3149,27.61,5
13219,26.61,13
11895,26.43,5
5773,26.25,5
7391,26.22,5
10717,25.67,5
10434,25.57,5
5211,23.74,5
13218,22.42,11
6357,22.04,5
9578,21.77,5
13217,20.09,5
13220,20.08,5
10150,19.69,10
13215,19.68,11
13221,15.61,5
13328,14.51,5
11256,13.27,5
12009,13.10,5
10148,11.85,10
8804,11.22,5
12027,10.80,7
11182,9.31,5
6949,7.91,10
12962,7.80,5
12224,7.51,5
13050,7.42,10
4432,6.58,5
8625,4.76,5
12804,2.56,7
10320,1.30,5
11689,-3.26,6
13988,-4.24,5
12573,-5.82,5
548,-9.98,5
13223,-10.08,5
2891,-10.78,5
